Node: 145, visit time: 1, predecessor : NULL
Node: 146, visit time: 1, predecessor : NULL
Node: 147, visit time: 1, predecessor : NULL
Node: 148, visit time: 1, predecessor : NULL
Node: 149, visit time: 1, predecessor : NULL
Node: 150, visit time: 1, predecessor : NULL
Node: 151, visit time: 1, predecessor : NULL
Node: 152, visit time: 1, predecessor : NULL
Node: 153, visit time: 1, predecessor : NULL
Node: 154, visit time: 1, predecessor : NULL
Node: 155, visit time: 1, predecessor : NULL
Node: 156, visit time: 1, predecessor : NULL
Node: 157, visit time: 1, predecessor : NULL
Node: 158, visit time: 1, predecessor : NULL
Node: 159, visit time: 1, predecessor : NULL
Node: 160, visit time: 1, predecessor : NULL
Node: 161, visit time: 1, predecessor : NULL
Node: 162, visit time: 1, predecessor : NULL
Node: 163, visit time: 1, predecessor : NULL
Node: 164, visit time: 1, predecessor : NULL
Node: 165, visit time: 1, predecessor : NULL
Node: 166, visit time: 1, predecessor : NULL
Node: 167, visit time: 1, predecessor : NULL
Node: 168, visit time: 1, predecessor : NULL
Node: 169, visit time: 1, predecessor : NULL
Node: 170, visit time: 1, predecessor : NULL
Node: 171, visit time: 1, predecessor : NULL
Node: 172, visit time: 1, predecessor : NULL
Node: 173, visit time: 1, predecessor : NULL
Node: 174, visit time: 1, predecessor : NULL
Node: 175, visit time: 1, predecessor : NULL
Node: 176, visit time: 1, predecessor : NULL
Node: 177, visit time: 1, predecessor : NULL
Node: 178, visit time: 1, predecessor : NULL
Node: 179, visit time: 1, predecessor : NULL
Node: 180, visit time: 1, predecessor : NULL
Node: 181, visit time: 1, predecessor : NULL
Node: 182, visit time: 1, predecessor : NULL
Node: 183, visit time: 1, predecessor : NULL
Node: 184, visit time: 1, predecessor : NULL
Node: 185, visit time: 1, predecessor : NULL
Node: 186, visit time: 1, predecessor : NULL
Node: 187, visit time: 1, predecessor : NULL
Node: 188, visit time: 1, predecessor : NULL
Node: 189, visit time: 1, predecessor : NULL
Node: 190, visit time: 1, predecessor : NULL
Node: 191, visit time: 1, predecessor : NULL
Node: 192, visit time: 1, predecessor : NULL
Node: 193, visit time: 1, predecessor : NULL
Node: 194, visit time: 1, predecessor : NULL
Node: 195, visit time: 1, predecessor : NULL
Node: 196, visit time: 1, predecessor : NULL
Node: 197, visit time: 1, predecessor : NULL
Node: 198, visit time: 1, predecessor : NULL
Node: 199, visit time: 1, predecessor : NULL
Node: 200, visit time: 1, predecessor : NULL
Node: 201, visit time: 1, predecessor : NULL
Node: 202, visit time: 1, predecessor : NULL
Node: 203, visit time: 1, predecessor : NULL
Node: 204, visit time: 1, predecessor : NULL
Node: 205, visit time: 1, predecessor : NULL
Node: 206, visit time: 1, predecessor : NULL
Node: 207, visit time: 1, predecessor : NULL
Node: 208, visit time: 1, predecessor : NULL
Node: 209, visit time: 1, predecessor : NULL
Node: 210, visit time: 1, predecessor : NULL
Node: 211, visit time: 1, predecessor : NULL
Node: 212, visit time: 1, predecessor : NULL
Node: 213, visit time: 1, predecessor : NULL
Node: 214, visit time: 1, predecessor : NULL
Node: 215, visit time: 1, predecessor : NULL
Node: 216, visit time: 1, predecessor : NULL
Node: 217, visit time: 1, predecessor : NULL
Node: 218, visit time: 1, predecessor : NULL
Node: 219, visit time: 1, predecessor : NULL
Node: 220, visit time: 1, predecessor : NULL
Node: 221, visit time: 1, predecessor : NULL
Node: 222, visit time: 1, predecessor : NULL
Node: 223, visit time: 1, predecessor : NULL
Node: 224, visit time: 1, predecessor : NULL
Node: 225, visit time: 1, predecessor : NULL
Node: 226, visit time: 1, predecessor : NULL
Node: 227, visit time: 1, predecessor : NULL
Node: 228, visit time: 1, predecessor : NULL
Node: 229, visit time: 1, predecessor : NULL
Node: 230, visit time: 1, predecessor : NULL
Node: 231, visit time: 1, predecessor : NULL
Node: 232, visit time: 1, predecessor : NULL
Node: 233, visit time: 1, predecessor : NULL
Node: 234, visit time: 1, predecessor : NULL
Node: 235, visit time: 1, predecessor : NULL
Node: 236, visit time: 1, predecessor : NULL
Node: 237, visit time: 1, predecessor : NULL
Node: 238, visit time: 1, predecessor : NULL
Node: 239, visit time: 1, predecessor : NULL
Node: 240, visit time: 1, predecessor : NULL
Node: 241, visit time: 1, predecessor : NULL
Node: 242, visit time: 1, predecessor : NULL
Node: 243, visit time: 1, predecessor : NULL
Node: 244, visit time: 1, predecessor : NULL
Node: 245, visit time: 1, predecessor : NULL
Node: 246, visit time: 1, predecessor : NULL
Node: 247, visit time: 1, predecessor : NULL
Node: 248, visit time: 1, predecessor : NULL
Node: 249, visit time: 1, predecessor : NULL
Node: 250, visit time: 1, predecessor : NULL
Node: 251, visit time: 1, predecessor : NULL
Node: 252, visit time: 1, predecessor : NULL
Node: 253, visit time: 1, predecessor : NULL
Node: 254, visit time: 1, predecessor : NULL
Node: 255, visit time: 1, predecessor : NULL
Node: 256, visit time: 1, predecessor : NULL
Node: 257, visit time: 1, predecessor : NULL
Node: 258, visit time: 1, predecessor : NULL
Node: 259, visit time: 1, predecessor : NULL
Node: 260, visit time: 1, predecessor : NULL
Node: 261, visit time: 1, predecessor : NULL
Node: 262, visit time: 1, predecessor : NULL
Node: 263, visit time: 1, predecessor : NULL
Node: 264, visit time: 1, predecessor : NULL
Node: 265, visit time: 1, predecessor : NULL
Node: 266, visit time: 1, predecessor : NULL
Node: 267, visit time: 1, predecessor : NULL
Node: 268, visit time: 1, predecessor : NULL
Node: 269, visit time: 1, predecessor : NULL
Node: 270, visit time: 1, predecessor : NULL
Node: 271, visit time: 1, predecessor : NULL
Node: 272, visit time: 1, predecessor : NULL
Node: 273, visit time: 1, predecessor : NULL
Node: 274, visit time: 1, predecessor : NULL
Node: 275, visit time: 1, predecessor : NULL
Node: 276, visit time: 1, predecessor : NULL
Node: 277, visit time: 1, predecessor : NULL
Node: 278, visit time: 1, predecessor : NULL
Node: 279, visit time: 1, predecessor : NULL
Node: 280, visit time: 1, predecessor : NULL
Node: 281, visit time: 1, predecessor : NULL
Node: 282, visit time: 1, predecessor : NULL
Node: 283, visit time: 1, predecessor : NULL
Node: 284, visit time: 1, predecessor : NULL
Node: 285, visit time: 1, predecessor : NULL
Node: 286, visit time: 1, predecessor : NULL
Node: 287, visit time: 1, predecessor : NULL
Node: 288, visit time: 1, predecessor : NULL
Node: 289, visit time: 1, predecessor : NULL
Node: 290, visit time: 1, predecessor : NULL
Node: 291, visit time: 1, predecessor : NULL
Node: 292, visit time: 1, predecessor : NULL
Node: 293, visit time: 1, predecessor : NULL
Node: 294, visit time: 1, predecessor : NULL
Node: 295, visit time: 1, predecessor : NULL
Node: 296, visit time: 1, predecessor : NULL
Node: 297, visit time: 1, predecessor : NULL
Node: 298, visit time: 1, predecessor : NULL
Node: 299, visit time: 1, predecessor : NULL
Node: 300, visit time: 1, predecessor : NULL
Node: 301, visit time: 1, predecessor : NULL
Node: 302, visit time: 1, predecessor : NULL
Node: 303, visit time: 1, predecessor : NULL
Node: 304, visit time: 1, predecessor : NULL
Node: 305, visit time: 1, predecessor : NULL
Node: 306, visit time: 1, predecessor : NULL
Node: 307, visit time: 1, predecessor : NULL
Node: 308, visit time: 1, predecessor : NULL
Node: 309, visit time: 1, predecessor : NULL
Node: 310, visit time: 1, predecessor : NULL
Node: 311, visit time: 1, predecessor : NULL
Node: 312, visit time: 1, predecessor : NULL
Node: 313, visit time: 1, predecessor : NULL
Node: 314, visit time: 1, predecessor : NULL
Node: 315, visit time: 1, predecessor : NULL
Node: 316, visit time: 1, predecessor : NULL
Node: 317, visit time: 1, predecessor : NULL
Node: 318, visit time: 1, predecessor : NULL
Node: 319, visit time: 1, predecessor : NULL
Node: 320, visit time: 1, predecessor : NULL
Node: 321, visit time: 1, predecessor : NULL
Node: 322, visit time: 1, predecessor : NULL
Node: 323, visit time: 1, predecessor : NULL
Node: 324, visit time: 1, predecessor : NULL
Node: 325, visit time: 1, predecessor : NULL
Node: 326, visit time: 1, predecessor : NULL
Node: 327, visit time: 1, predecessor : NULL
Node: 328, visit time: 1, predecessor : NULL
Node: 329, visit time: 1, predecessor : NULL
Node: 330, visit time: 1, predecessor : NULL
Node: 331, visit time: 1, predecessor : NULL
Node: 332, visit time: 1, predecessor : NULL
Node: 333, visit time: 1, predecessor : NULL
Node: 334, visit time: 1, predecessor : NULL
Node: 335, visit time: 1, predecessor : NULL
Node: 336, visit time: 1, predecessor : NULL
Node: 337, visit time: 1, predecessor : NULL
Node: 338, visit time: 1, predecessor : NULL
Node: 339, visit time: 1, predecessor : NULL
Node: 340, visit time: 1, predecessor : NULL
Node: 341, visit time: 1, predecessor : NULL
Node: 342, visit time: 1, predecessor : NULL
Node: 343, visit time: 1, predecessor : NULL
Node: 344, visit time: 1, predecessor : NULL
Node: 345, visit time: 1, predecessor : NULL
Node: 346, visit time: 1, predecessor : NULL
Node: 347, visit time: 1, predecessor : NULL
Node: 348, visit time: 1, predecessor : NULL
Node: 349, visit time: 1, predecessor : NULL
Node: 350, visit time: 1, predecessor : NULL
Node: 351, visit time: 1, predecessor : NULL
Node: 352, visit time: 1, predecessor : NULL
Node: 353, visit time: 1, predecessor : NULL
Node: 354, visit time: 1, predecessor : NULL
Node: 355, visit time: 1, predecessor : NULL
Node: 356, visit time: 1, predecessor : NULL
Node: 357, visit time: 1, predecessor : NULL
Node: 358, visit time: 1, predecessor : NULL
Node: 359, visit time: 1, predecessor : NULL
Node: 360, visit time: 1, predecessor : NULL
Node: 361, visit time: 1, predecessor : NULL
Node: 362, visit time: 1, predecessor : NULL
Node: 363, visit time: 1, predecessor : NULL
Node: 364, visit time: 1, predecessor : NULL
Node: 365, visit time: 1, predecessor : NULL
Node: 366, visit time: 1, predecessor : NULL
Node: 367, visit time: 1, predecessor : NULL
Node: 368, visit time: 1, predecessor : NULL
Node: 369, visit time: 1, predecessor : NULL
Node: 370, visit time: 1, predecessor : NULL
Node: 371, visit time: 1, predecessor : NULL
Node: 372, visit time: 1, predecessor : NULL
Node: 373, visit time: 1, predecessor : NULL
Node: 374, visit time: 1, predecessor : NULL
Node: 375, visit time: 1, predecessor : NULL
Node: 376, visit time: 1, predecessor : NULL
Node: 377, visit time: 1, predecessor : NULL
Node: 378, visit time: 1, predecessor : NULL
Node: 379, visit time: 1, predecessor : NULL
Node: 380, visit time: 1, predecessor : NULL
Node: 381, visit time: 1, predecessor : NULL
Node: 382, visit time: 1, predecessor : NULL
Node: 383, visit time: 1, predecessor : NULL
Node: 384, visit time: 1, predecessor : NULL
Node: 385, visit time: 1, predecessor : NULL
Node: 386, visit time: 1, predecessor : NULL
Node: 387, visit time: 1, predecessor : NULL
Node: 388, visit time: 1, predecessor : NULL
Node: 389, visit time: 1, predecessor : NULL
Node: 390, visit time: 1, predecessor : NULL
Node: 391, visit time: 1, predecessor : NULL
Node: 392, visit time: 1, predecessor : NULL
Node: 393, visit time: 1, predecessor : NULL
Node: 394, visit time: 1, predecessor : NULL
Node: 395, visit time: 1, predecessor : NULL
Node: 396, visit time: 1, predecessor : NULL
Node: 397, visit time: 1, predecessor : NULL
Node: 398, visit time: 1, predecessor : NULL
Node: 399, visit time: 1, predecessor : NULL
Node: 400, visit time: 1, predecessor : NULL
Node: 401, visit time: 1, predecessor : NULL
Node: 402, visit time: 1, predecessor : NULL
Node: 403, visit time: 1, predecessor : NULL
Node: 404, visit time: 1, predecessor : NULL
Node: 405, visit time: 1, predecessor : NULL
Node: 406, visit time: 1, predecessor : NULL
Node: 407, visit time: 1, predecessor : NULL
Node: 408, visit time: 1, predecessor : NULL
Node: 409, visit time: 1, predecessor : NULL
Node: 410, visit time: 1, predecessor : NULL
Node: 411, visit time: 1, predecessor : NULL
Node: 412, visit time: 1, predecessor : NULL
Node: 413, visit time: 1, predecessor : NULL
Node: 414, visit time: 1, predecessor : NULL
Node: 415, visit time: 1, predecessor : NULL
Node: 416, visit time: 1, predecessor : NULL
Node: 417, visit time: 1, predecessor : NULL
Node: 418, visit time: 1, predecessor : NULL
Node: 419, visit time: 1, predecessor : NULL
Node: 420, visit time: 1, predecessor : NULL
Node: 421, visit time: 1, predecessor : NULL
Node: 422, visit time: 1, predecessor : NULL
Node: 423, visit time: 1, predecessor : NULL
Node: 424, visit time: 1, predecessor : NULL
Node: 425, visit time: 1, predecessor : NULL
Node: 426, visit time: 1, predecessor : NULL
Node: 427, visit time: 1, predecessor : NULL
Node: 428, visit time: 1, predecessor : NULL
Node: 429, visit time: 1, predecessor : NULL
Node: 430, visit time: 1, predecessor : NULL
Node: 431, visit time: 1, predecessor : NULL
Node: 432, visit time: 1, predecessor : NULL
Node: 433, visit time: 1, predecessor : NULL
Node: 434, visit time: 1, predecessor : NULL
Node: 435, visit time: 1, predecessor : NULL
Node: 436, visit time: 1, predecessor : NULL
Node: 437, visit time: 1, predecessor : NULL
Node: 438, visit time: 1, predecessor : NULL
Node: 439, visit time: 1, predecessor : NULL
Node: 440, visit time: 1, predecessor : NULL
Node: 441, visit time: 1, predecessor : NULL
